sensor_name,timestamp,x,y,z
LSM6DS3,1206282,-0.43,-0.12,0.37
LSM6DS3,1211296,0.24,0.12,0.37
LSM6DS3,1216309,0.43,0.18,0.37
LSM6DS3,1221319,0.24,0.12,0.37
LSM6DS3,1226332,0.98,0.31,0.43
LSM6DS3,1231345,0.49,0.18,0.37
LSM6DS3,1236356,1.28,0.61,0.43
LSM6DS3,1241370,0.98,0.31,0.43
LSM6DS3,1246382,0.31,0.12,0.31
LSM6DS3,1251393,0.43,0.12,0.37
LSM6DS3,1256407,0.37,0.18,0.37
LSM6DS3,1261417,0.24,0.06,0.37
LSM6DS3,1266428,0.43,0.18,0.37
LSM6DS3,1271440,1.16,0.37,0.49
LSM6DS3,1276452,0.24,0.12,0.43
LSM6DS3,1281462,1.16,0.37,0.37
LSM6DS3,1286473,-0.55,-0.06,0.12
LSM6DS3,1291483,0.73,0.12,0.49
LSM6DS3,1296493,0.85,0.49,0.18
LSM6DS3,1301504,0.49,0.18,0.37
LSM6DS3,1306514,0.61,0.18,0.37
LSM6DS3,1311525,0.61,0.18,0.37
LSM6DS3,1316535,0.61,0.24,0.31
LSM6DS3,1321548,0.55,0.0,0.67
LSM6DS3,1326559,0.67,0.06,0.55
LSM6DS3,1331570,0.61,0.37,0.31
LSM6DS3,1336580,0.49,0.37,0.31
LSM6DS3,1341590,0.55,0.24,0.37
LSM6DS3,1346601,0.61,0.31,0.37
LSM6DS3,1351614,0.55,0.49,0.31
LSM6DS3,1356625,0.55,0.18,0.43
LSM6DS3,1361638,0.55,0.18,0.37
LSM6DS3,1366649,0.55,0.18,0.37
LSM6DS3,1371660,0.55,0.24,0.37
LSM6DS3,1376670,0.55,0.24,0.43
LSM6DS3,1381680,0.55,0.18,0.37
LSM6DS3,1386690,0.49,0.24,0.37
LSM6DS3,1391700,0.55,0.24,0.37
LSM6DS3,1396710,0.55,0.24,0.31
LSM6DS3,1401721,0.61,0.18,0.37
LSM6DS3,1406732,0.61,0.18,0.37
LSM6DS3,1411742,0.49,0.31,0.37
LSM6DS3,1416756,0.61,0.18,0.37
LSM6DS3,1421766,0.55,0.12,0.49
LSM6DS3,1426777,0.85,0.06,0.43
LSM6DS3,1431788,0.61,0.18,0.43
LSM6DS3,1436799,0.61,0.43,0.31
LSM6DS3,1441809,0.43,0.06,0.31
LSM6DS3,1446820,0.55,0.24,0.37
LSM6DS3,1451834,0.61,0.24,0.37
LSM6DS3,1456844,0.24,0.24,0.31
LSM6DS3,1461856,0.55,0.24,0.37
LSM6DS3,1466866,0.55,0.24,0.24
LSM6DS3,1471877,0.67,0.43,0.12
LSM6DS3,1476887,0.43,0.43,0.12
LSM6DS3,1481897,0.55,0.12,0.55
LSM6DS3,1486907,0.49,0.06,0.37
LSM6DS3,1491918,0.73,0.18,0.24
LSM6DS3,1496929,0.61,0.37,0.18
